Origin,Destination,Refugees,Asylum,Total Population
Afghanistan,Germany,46292,126522,172814
Pakistan,Germany,5169,22748,27917
Somalia,Germany,7879,15973,23852
Serbia and Kosovo (S/RES/1244 (1999)),Germany,9189,16541,25730
South Sudan,Germany,21,155,176
Syrian Arab Rep.,Germany,375122,100527,475649
Afghanistan,Spain,235,115,350
Pakistan,Spain,322,235,557
Palestinian,Spain,595,825,1420
Somalia,Spain,565,145,710
Serbia and Kosovo (S/RES/1244 (1999)),Spain,3,15,18
South Sudan,Spain,0,5,5
Syrian Arab Rep.,Spain,8205,1600,9805
Afghanistan,France,7685,4180,11865
Pakistan,France,1137,1760,2897
Palestinian,France,705,155,860
Somalia,France,2524,1191,3715
Serbia and Kosovo (S/RES/1244 (1999)),France,13154,2087,15241
South Sudan,France,8,0,8
Syrian Arab Rep.,France,8991,2149,11140
Afghanistan,United Kingdom,9752,2793,12545
Pakistan,United Kingdom,6814,2914,9728
Palestinian,United Kingdom,480,148,628
Somalia,United Kingdom,5954,405,6359
Serbia and Kosovo (S/RES/1244 (1999)),United Kingdom,125,43,168
South Sudan,United Kingdom,25,8,33
Syrian Arab Rep.,United Kingdom,8269,1010,9279
Afghanistan,Italy,16033,1926,17959
Pakistan,Italy,13412,11339,24751
Palestinian,Italy,792,226,1018
Somalia,Italy,14336,1501,15837
Serbia and Kosovo (S/RES/1244 (1999)),Italy,2885,511,3396
South Sudan,Italy,61,5,66
Syrian Arab Rep.,Italy,2613,548,3161
Afghanistan,Sweden,16558,34217,50775
Pakistan,Sweden,393,529,922
Palestinian,Sweden,882,474,1356
Somalia,Sweden,22548,3890,26438
Serbia and Kosovo (S/RES/1244 (1999)),Sweden,2071,529,2600
South Sudan,Sweden,1,4,5
Syrian Arab Rep.,Sweden,96914,7085,103999
Afghanistan,Turkey,3423,114693,118116
Pakistan,Turkey,50,780,830
Palestinian,Turkey,1043,793,1836
Somalia,Turkey,2239,1224,3463
South Sudan,Turkey,4,3,7
Syrian Arab Rep.,Turkey,2823987,180,2824167
